,Car Model,Year of Production,Engine Volume,Mileage,Fuel,Gearbox Mechanism,Steering Wheel Location,Color,Body Type,Location,Price in USD
528,BMW 5 серии,2004,4.4,200000.0, бензин, автомат,руль слева,серебристый,седан,Джалал-Абад,12000
529,BMW 5 серии,2005,2.5,360000.0, бензин, автомат,руль слева,серебристый,седан,Бишкек,10900
530,BMW X5,2019,3.0,119000.0, бензин, автомат,руль слева,синий,внедорожник 5 дв.,Бишкек,62900
531,BMW X5,2019,3.0,165000.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,43500
532,BMW X5,2022,3.0,37000.0, гибрид, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,80000
533,BMW X5,2017,3.0,190000.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,34900
534,BMW X7,2020,3.0,58000.0, дизель, автомат,руль слева,синий,внедорожник 5 дв.,Бишкек,82500
535,BMW 5 серии,2020,2.0,30000.0, бензин, автомат,руль слева,синий,седан,Бишкек,39500
536,BMW X7,2021,3.0,85000.0, бензин, автомат,руль слева,серый,внедорожник 5 дв.,Бишкек,69900
537,BMW M5,2018,4.4,75000.0, бензин, автомат,руль слева,зеленый,седан,Бишкек,72500
538,BMW X5,2018,3.0,110000.0, бензин, автомат,руль слева,серый,внедорожник 5 дв.,Бишкек,46000
539,BMW X3 M,2020,3.0,147000.0, бензин, автомат,руль слева,бежевый,внедорожник 5 дв.,Бишкек,50900
540,BMW 5 серии,2019,3.0,62000.0, бензин, автомат,руль слева,белый,седан,Бишкек,32900
541,BMW X5,2018,3.0,145000.0, дизель, автомат,руль слева,серый,внедорожник 5 дв.,Бишкек,38900
542,BMW X5,2018,3.0,170000.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,31900
543,BMW 5 серии,2017,2.0,126000.0, бензин, автомат,руль слева,синий,седан,Бишкек,22800
544,BMW X5,2018,3.0,55000.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,35000
545,BMW X7,2021,3.0,94000.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,61900
546,BMW X7,2019,3.0,82000.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,59900
547,BMW X5,2019,3.0,149000.0, бензин, автомат,руль слева,серый,внедорожник 5 дв.,Бишкек,57999
548,BMW X4,2020,3.0,76000.0, дизель, автомат,руль слева,бордовый,внедорожник 5 дв.,Бишкек,46000
549,BMW 5 серии,2018,3.0,79000.0, бензин, автомат,руль слева,белый,седан,Бишкек,34500
550,BMW 3 серии,2019,2.0,98000.0, бензин, автомат,руль слева,черный,седан,Бишкек,32200
551,BMW X7,2022,3.0,30000.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,75000
552,BMW X5,2020,4.4,71000.0, бензин, автомат,руль слева,серый,внедорожник 5 дв.,Бишкек,67500
553,BMW 7 серии,2020,3.0,69000.0, дизель, автомат,руль слева,черный,седан,Бишкек,59900
554,BMW 5 серии,2002,3.0,300000.0, бензин, автомат,руль слева,черный,седан,Бишкек,10500
555,BMW X5,2016,3.0,136000.0, дизель, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,28500
556,BMW X1,2024,2.0,10.0, бензин, робот,руль слева,белый,внедорожник 5 дв.,Бишкек,46000
557,BMW 5 серии,2021,2.0,55000.0, бензин, автомат,руль слева,белый,седан,Бишкек,39900
558,BMW 3 серии,2018,2.0,120000.0, дизель, автомат,руль слева,белый,седан,Бишкек,22900
559,BMW 1 серии,2005,2.0,370000.0, дизель, автомат,руль слева,черный,хэтчбек 5 дв.,Бишкек,10000
560,BMW X7,2020,3.0,130000.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,74900
561,BMW X7,2020,3.0,72000.0, дизель, автомат,руль слева,коричневый,внедорожник 5 дв.,Бишкек,65000
562,BMW 5 серии,2017,2.0,212000.0, дизель, автомат,руль слева,белый,седан,Бишкек,21500
563,BMW 5 серии,2018,3.0,109000.0, дизель, автомат,руль слева,серый,седан,Бишкек,34000
564,BMW 3 серии,1996,1.8,280000.0, бензин, механика,руль слева,хамелеон,седан,Ош,1952
565,BMW X5,2017,3.0,158000.0, бензин, автомат,руль слева,серый,внедорожник 5 дв.,Бишкек,25000
566,BMW 4 серии,2022,2.0,7300.0, бензин, автомат,руль слева,синий,купе,Бишкек,95000
567,BMW X5,2023,3.0,19000.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,101000
568,BMW XM,2023,4.4,3200.0, гибрид, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,222000
569,BMW X5,2018,3.0,143000.0, дизель, автомат,руль слева,синий,внедорожник 5 дв.,Бишкек,36300
570,BMW X6,2018,3.0,165000.0, бензин, автомат,руль слева,серый,внедорожник 5 дв.,Бишкек,35900
571,BMW X5,2017,3.0,128000.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,27500
572,BMW 3 серии,2017,3.0,204000.0, бензин, автомат,руль слева,черный,седан,Бишкек,27000
573,BMW 5 серии,2017,2.0,183000.0, бензин, автомат,руль слева,черный,седан,Бишкек,21500
574,BMW X5,2011,3.0,190000.0, бензин, автомат,руль слева,синий,внедорожник 5 дв.,Бишкек,18000
575,BMW X5,2022,3.0,10000.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,62000
576,BMW X5,2017,3.0,105000.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,30500
577,BMW 5 серии,2014,2.0,254000.0, бензин, автомат,руль слева,черный,седан,Бишкек,17500
578,BMW 3 серии,2018,2.0,215000.0, дизель, автомат,руль слева,белый,седан,Бишкек,20400
579,BMW 5 серии,2021,2.0,37000.0, бензин, автомат,руль слева,синий,седан,Бишкек,35900
580,BMW M5,2019,4.4,80000.0, бензин, автомат,руль слева,черный,седан,Бишкек,84900
581,BMW 5 серии,2020,2.0,26000.0, гибрид, автомат,руль слева,белый,седан,Бишкек,41900
582,BMW 7 серии,2016,4.4,67000.0, бензин, автомат,руль слева,белый,седан,Бишкек,42000
583,BMW 7 серии,2018,6.6,150000.0, бензин, автомат,руль слева,черный,седан,Бишкек,68000
584,BMW 5 серии,2003,2.5,165000.0, бензин, автомат,руль слева,серебристый,седан,Бишкек,10500
585,BMW X5,2002,4.4,482803.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Ноокат,8036
586,BMW 7 серии,2009,4.4,204000.0, бензин, автомат,руль слева,хамелеон,седан,Бишкек,12500
587,BMW 5 серии,2017,2.0,89000.0, бензин, автомат,руль слева,черный,седан,Бишкек,27900
588,BMW X5,2023,3.0,40000.0, дизель, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,99900
589,BMW X1,2017,2.0,202777.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,20500
590,BMW X7,2022,3.0,6300.0, дизель, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,120000
591,BMW X7,2023,3.0,643.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,120000
592,BMW 5 серии,2017,2.0,208000.0, дизель, автомат,руль слева,черный,седан,Бишкек,21500
593,BMW 5 серии,2024,2.0,20.0, бензин, автомат,руль слева,синий,седан,Бишкек,74500
594,BMW 5 серии,2016,3.0,120000.0, бензин, автомат,руль слева,серебристый,седан,Бишкек,24000
595,BMW X5,2010,3.0,196875.0, дизель, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,18500
596,BMW X7,2020,3.0,70811.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,82000
597,BMW X5,2018,4.4,113000.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,35900
598,BMW X7,2022,3.0,46000.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,125000
599,BMW 5 серии,2018,3.0,160000.0, бензин, автомат,руль слева,белый,седан,Бишкек,38000
600,BMW X7,2022,3.0,23000.0, бензин, автомат,руль слева,синий,внедорожник 5 дв.,Бишкек,115000
601,BMW 5 серии,2020,2.0,60000.0, дизель, автомат,руль слева,синий,седан,Бишкек,37000
602,BMW X7,2021,3.0,77000.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,64900
603,BMW 5 серии,2019,3.0,98000.0, бензин, автомат,руль слева,белый,седан,Бишкек,31500
604,BMW X5,2019,3.0,88514.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,55900
605,BMW 5 серии,2018,3.0,160000.0, бензин, автомат,руль слева,белый,седан,Бишкек,38000
606,BMW X5,2021,3.0,119000.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,45900
607,BMW X7,2020,3.0,131000.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,61900
608,BMW 5 серии,2021,2.0,23000.0, гибрид, автомат,руль слева,белый,седан,Бишкек,36500
609,BMW 7 серии,2017,3.0,167000.0, бензин, автомат,руль слева,белый,седан,Бишкек,45000
610,BMW X5,2018,3.0,120000.0, дизель, автомат,руль слева,серый,внедорожник 5 дв.,Бишкек,38500
611,BMW X7,2020,3.0,99000.0, бензин, автомат,руль слева,серый,внедорожник 5 дв.,Бишкек,57000
612,BMW 5 серии,2017,3.0,169000.0, дизель, автомат,руль слева,черный,седан,Бишкек,32000
613,BMW X7,2020,3.0,121000.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,США,60000
614,BMW X5,2019,3.0,69000.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,52500
615,BMW X5,2017,3.0,220000.0, дизель, автомат,руль слева,серебристый,внедорожник 5 дв.,Бишкек,31500
616,BMW X6,2018,3.0,133333.0, бензин, автомат,руль слева,серый,внедорожник 5 дв.,Бишкек,35000
617,BMW X5,2002,3.0,430000.0, дизель, автомат,руль слева,черный,внедорожник 5 дв.,Ош,8036
618,BMW X7,2019,4.4,67000.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,75000
619,BMW X5,2004,3.0,300000.0, дизель, автомат,руль слева,серебристый,внедорожник 5 дв.,Бишкек,12500
620,BMW X6 M,2023,4.4,38441.0, бензин, автомат,руль слева,бордовый,внедорожник 5 дв.,США,56000
621,BMW 1 серии,2016,2.0,100000.0, дизель, автомат,руль слева,серый,хэтчбек 5 дв.,Бишкек,13500
622,BMW X7,2020,3.0,92417.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,США,30000
623,BMW 5 серии,2017,2.0,250000.0, бензин, автомат,руль слева,серый,седан,Бишкек,24900
624,BMW 5 серии,2019,2.0,162469.0, дизель, автомат,руль слева,серый,седан,Южная,15259
625,BMW 5 серии,2018,3.0,94559.0, бензин, автомат,руль слева,черный,седан,Канада,19500
626,BMW X5,2019,3.0,64000.0, дизель, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,59500
627,BMW 3 серии,2020,3.0,145135.0, бензин, автомат,руль слева,белый,седан,США,17300
628,BMW 5 серии,2019,2.0,138961.0, бензин, автомат,руль слева,серый,седан,Южная,24422
629,BMW 5 серии,2022,4.4,35000.0, бензин, автомат,руль слева,серый,седан,Бишкек,69999
630,BMW X5 M,2015,4.4,123000.0, бензин, автомат,руль слева,синий,внедорожник 5 дв.,Бишкек,41000
631,BMW 3 серии,2017,2.0,108000.0, бензин, автомат,руль слева,синий,седан,Бишкек,18300
632,BMW X7,2020,3.0,69332.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,США,30300
633,BMW 5 серии,2018,2.0,90875.0, бензин, автомат,руль слева,белый,седан,Южная,24709
634,BMW X7,2022,3.0,19021.0, бензин, автомат,руль слева,серебристый,внедорожник 5 дв.,США,40000
635,BMW 7 серии,2022,3.0,39946.0, бензин, автомат,руль слева,бронза,седан,США,31000
636,BMW 7 серии,2019,3.0,118016.0, бензин, автомат,руль слева,черный,седан,США,12000
637,BMW X5,2020,3.0,36007.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,США,30000
638,BMW 7 серии,2024,3.0,7363.0, бензин, автомат,руль слева,серебристый,седан,США,74000
639,BMW X5,2019,3.0,125200.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,46000
640,BMW 5 серии,2021,2.0,43600.0, бензин, автомат,руль слева,черный,седан,США,25000
641,BMW 5 серии,2017,2.0,134000.0, бензин, автомат,руль слева,белый,седан,Бишкек,27500
642,BMW 5 серии,1996,3.0,240000.0, бензин, механика,руль слева,серый,седан,Бишкек,15500
643,BMW 5 серии,2024,2.0,7749.0, бензин, автомат,руль слева,белый,седан,Южная,66990
644,BMW 5 серии,2021,2.0,46000.0, бензин, автомат,руль слева,черный,седан,Южная,24500
645,BMW X3,2024,2.0,10.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,59200
646,BMW 5 серии,2024,2.0,3872.0, бензин, автомат,руль слева,белый,седан,Южная,71377
647,BMW 5 серии,2021,2.0,106000.0, дизель, автомат,руль слева,серый,седан,Южная,24500
648,BMW X5,2018,3.0,89435.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,США,11500
649,BMW X5,2020,4.4,72843.0, бензин, автомат,руль слева,синий,внедорожник 5 дв.,ОАЭ,68000
650,BMW X5,2023,3.0,16800.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Южная,86741
651,BMW X1,2022,2.0,12000.0, бензин, робот,руль слева,белый,внедорожник 5 дв.,Южная,16000
652,BMW iX3,2024,,1.0, электро, автомат,руль слева,белый,внедорожник 5 дв.,ОАЭ,38500
653,BMW X7,2024,3.0,11.0, дизель, автомат,руль слева,черный,внедорожник 5 дв.,Южная,117800
654,BMW 5 серии,2018,3.0,260000.0, бензин, автомат,руль слева,синий,седан,Бишкек,30500
655,BMW 3 серии,2017,2.0,140400.0, дизель, автомат,руль слева,белый,седан,Бишкек,18000
656,BMW M3,2024,3.0,15.0, бензин, автомат,руль слева,серебристый,седан,Европа,131000
657,BMW X5,2019,3.0,240000.0, дизель, автомат,руль слева,серый,внедорожник 5 дв.,Бишкек,43000
658,BMW X5,2019,3.0,107000.0, дизель, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,60000
659,BMW 5 серии,2023,2.0,17115.0, бензин, автомат,руль слева,серый,седан,Бишкек,64000
660,BMW 5 серии,2020,2.0,119000.0, дизель, автомат,руль слева,белый,седан,Бишкек,38000
661,BMW 5 серии,2018,2.0,163900.0, бензин, автомат,руль слева,серый,седан,Бишкек,25000
662,BMW X5,2021,3.0,100499.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,США,25000
663,BMW X1,2024,2.0,1.0, бензин, робот,руль слева,серебристый,внедорожник 5 дв.,Китай,42000
664,BMW X2,2024,2.0,, бензин, робот,руль слева,серый,внедорожник 5 дв.,Китай,38500
665,BMW X2,2024,2.0,, бензин, робот,руль слева,серый,внедорожник 5 дв.,Китай,45000
666,BMW X5,2019,3.0,47246.0, дизель, автомат,руль слева,белый,внедорожник 5 дв.,Южная,62303
667,BMW X5,2011,4.4,230000.0, бензин, автомат,руль слева,коричневый,внедорожник 5 дв.,Бишкек,16500
668,BMW X5,2024,3.0,7300.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Южная,99000
669,BMW X7,2019,3.0,92000.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,53000
670,BMW X3,2018,2.0,145843.0, бензин, автомат,руль слева,синий,внедорожник 5 дв.,США,10000
671,BMW 7 серии,2013,3.0,237000.0, бензин, автомат,руль слева,черный,седан,Бишкек,21500
672,BMW M4,2022,3.0,20900.0, бензин, автомат,руль слева,черный,кабриолет,Южная,84000
673,BMW M5,2022,4.4,22000.0, бензин, автомат,руль слева,синий,седан,Южная,99600
674,BMW X6,2021,3.0,47000.0, дизель, автомат,руль слева,черный,внедорожник 5 дв.,Южная,71000
675,BMW X5 M,2022,4.4,16000.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Южная,95000
676,BMW X7,2022,3.0,22570.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Южная,110000
677,BMW X6,2018,3.0,135000.0, бензин, автомат,руль слева,серый,внедорожник 5 дв.,Бишкек,33000
678,BMW X3,2018,2.0,160934.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,23000
679,BMW 1 серии,2021,2.0,56346.0, бензин, автомат,руль слева,белый,хэтчбек 5 дв.,Южная,21999
680,BMW X5,2023,3.0,6200.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Южная,96000
681,BMW M4,2021,3.0,23000.0, бензин, автомат,руль слева,синий,купе,Южная,85000
682,BMW 5 серии,2004,3.0,240000.0, бензин, автомат,руль слева,черный,седан,Бишкек,12500
683,BMW 3 серии,2018,2.0,118000.0, дизель, автомат,руль слева,белый,седан,Южная,12700
684,BMW X1,2023,2.0,1.0, бензин, робот,руль слева,белый,внедорожник 5 дв.,Китай,39000
685,BMW X1,2024,2.0,10.0, бензин, робот,руль слева,белый,внедорожник 5 дв.,Китай,37800
686,BMW X5,2022,3.0,81741.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Южная,71370
687,BMW 7 серии,2021,3.0,51000.0, бензин, автомат,руль слева,серый,седан,Бишкек,85000
688,BMW 5 серии,2018,2.0,30778.0, бензин, автомат,руль слева,синий,седан,Южная,29000
689,BMW 7 серии,2007,4.0,130000.0, бензин, автомат,руль слева,черный,седан,Бишкек,13900
690,BMW X7,2022,3.0,16586.0, бензин, автомат,руль слева,серый,внедорожник 5 дв.,Южная,108111
691,BMW X2,2024,2.0,10.0, бензин, робот,руль слева,серый,внедорожник 5 дв.,Китай,38900
692,BMW X3,2024,2.0,10.0, гибрид, автомат,руль слева,синий,внедорожник 5 дв.,Китай,49000
693,BMW X1,2024,2.0,10.0, бензин, робот,руль слева,серый,внедорожник 5 дв.,Китай,44900
694,BMW X3,2024,2.0,10.0, гибрид, автомат,руль слева,белый,внедорожник 5 дв.,Китай,49000
695,BMW X3,2024,2.0,10.0, гибрид, автомат,руль слева,черный,внедорожник 5 дв.,Китай,49000
696,BMW X3,2024,2.0,1.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,58500
697,BMW X1,2024,2.0,1.0, бензин, робот,руль слева,белый,внедорожник 5 дв.,Бишкек,47600
698,BMW X5,2020,4.4,27661.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Южная,78000
699,BMW 5 серии,2017,2.0,150000.0, дизель, автомат,руль слева,серый,седан,Южная,15000
700,BMW X5,2023,2.0,11000.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Китай,115000
701,BMW X5,2020,3.0,75000.0, дизель, автомат,руль слева,синий,внедорожник 5 дв.,Южная,54800
702,BMW M3,2021,3.0,37000.0, бензин, автомат,руль слева,синий,седан,Южная,69000
703,BMW XM,2024,4.4,10.0, гибрид, автомат,руль слева,черный,внедорожник 5 дв.,Грузия,160000
704,BMW M5,2021,4.4,46000.0, бензин, автомат,руль слева,зеленый,седан,Южная,125000
705,BMW X7,2023,3.0,10.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Грузия,119000
706,BMW 1 серии,2021,2.0,65000.0, дизель, автомат,руль слева,черный,хэтчбек 5 дв.,Южная,18900
707,BMW X3,2023,2.0,10.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Китай,52600
708,BMW X3,2024,2.0,1.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,57800
709,BMW X5 M,2021,4.4,73000.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Южная,70500
710,BMW X2,2024,2.0,1.0, бензин, робот,руль слева,серый,внедорожник 5 дв.,Бишкек,53500
711,BMW X1,2024,2.0,1.0, бензин, робот,руль слева,черный,внедорожник 5 дв.,Бишкек,46500
712,BMW 5 серии,2024,2.0,1.0, бензин, автомат,руль слева,белый,седан,Бишкек,75500
713,BMW X5,2008,3.0,218000.0, бензин, автомат,руль слева,синий,внедорожник 5 дв.,Бишкек,15500
714,BMW X7,2020,3.0,160934.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,59500
715,BMW X7,2021,3.0,27396.0, бензин, автомат,руль слева,синий,внедорожник 5 дв.,Южная,87774
716,BMW 5 серии,2016,3.0,120000.0, бензин, автомат,руль слева,черный,седан,Бишкек,27000
717,BMW X7,2019,3.0,168981.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,58500
718,BMW 5 серии,2018,2.0,127000.0, дизель, автомат,руль слева,серый,седан,Южная,17500
719,BMW 5 серии,2023,2.0,5.0, бензин, автомат,руль слева,серебристый,седан,Китай,36000
720,BMW X1,2023,2.0,9500.0, бензин, робот,руль слева,серый,внедорожник 5 дв.,Бишкек,43888
721,BMW X5,2023,3.0,20000.0, дизель, автомат,руль слева,синий,внедорожник 5 дв.,Южная,69999
722,BMW M5,2020,4.4,46883.0, бензин, автомат,руль слева,синий,седан,Южная,62500
723,BMW 5 серии,2024,2.0,20.0, бензин, автомат,руль слева,черный,седан,Бишкек,77500
724,BMW X5,2023,3.0,16920.0, дизель, автомат,руль слева,синий,внедорожник 5 дв.,Южная,69000
725,BMW M5,2023,4.4,13392.0, бензин, автомат,руль слева,синий,седан,Южная,105500
726,BMW M5,2019,4.4,51000.0, бензин, автомат,руль слева,серый,седан,Южная,63000
727,BMW M5,2020,4.4,107630.0, бензин, автомат,руль слева,серебристый,седан,Южная,59271
728,BMW X6,2022,3.0,12200.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Южная,75198
729,BMW X2,2024,2.0,10.0, бензин, робот,руль слева,серый,внедорожник 5 дв.,Китай,46800
730,BMW X7,2023,3.0,5.0, бензин, автомат,руль слева,серый,внедорожник 5 дв.,Грузия,119000
731,BMW iX3,2023,,10.0, электро, автомат,руль слева,белый,внедорожник 5 дв.,Китай,33200
732,BMW 5 серии,2018,2.0,135000.0, дизель, автомат,руль слева,черный,седан,Южная,14500
733,BMW 5 серии,2024,2.0,45.0, бензин, автомат,руль слева,белый,седан,Бишкек,75500
734,BMW X1,2024,2.0,, бензин, робот,руль слева,белый,внедорожник 5 дв.,Китай,37800
735,BMW X5,2023,2.0,10.0, бензин, автомат,руль слева,серебристый,внедорожник 5 дв.,Китай,87800
736,BMW X2,2024,2.0,50.0, бензин, робот,руль слева,белый,внедорожник 5 дв.,Бишкек,51500
737,BMW X3,2024,2.0,20.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Китай,49800
738,BMW M4,2021,3.0,27000.0, бензин, автомат,руль слева,серый,кабриолет,Южная,90000
739,BMW X2,2024,2.0,20.0, бензин, робот,руль слева,белый,внедорожник 5 дв.,Бишкек,52500
740,BMW 3 серии,2018,2.0,86251.0, бензин, автомат,руль слева,белый,седан,Южная,14500
741,BMW 3 серии,2018,2.0,113000.0, дизель, автомат,руль слева,белый,седан,Бишкек,15999
742,BMW X1,2024,2.0,20.0, бензин, робот,руль слева,белый,внедорожник 5 дв.,Китай,38500
743,BMW X3,2024,2.0,20.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,61888
744,BMW M5,2019,4.4,59745.0, бензин, автомат,руль слева,белый,седан,Южная,48100
745,BMW X7,2023,3.0,5.0, бензин, автомат,руль слева,серый,внедорожник 5 дв.,Грузия,120000
746,BMW X1,2024,2.0,5.0, бензин, робот,руль слева,белый,внедорожник 5 дв.,Китай,37400
747,BMW X3,2023,2.0,1.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,74000
748,BMW 5 серии,2018,2.0,135000.0, дизель, автомат,руль слева,синий,седан,Бишкек,23700
749,BMW X1,2024,2.0,50.0, бензин, робот,руль слева,белый,внедорожник 5 дв.,Китай,39500
750,BMW X6 M,2021,4.4,31000.0, бензин, автомат,руль слева,серый,внедорожник 5 дв.,Южная,96000
751,BMW X2,2024,2.0,10.0, бензин, робот,руль слева,серый,внедорожник 5 дв.,Китай,39000
752,BMW X7,2022,3.0,46000.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,115000
753,BMW 3 серии,2021,3.0,35000.0, бензин, автомат,руль слева,серый,седан,Южная,42000
754,BMW X1,2024,2.0,1.0, бензин, робот,руль слева,белый,внедорожник 5 дв.,Бишкек,48000
755,BMW X2,2024,2.0,1.0, бензин, робот,руль слева,белый,внедорожник 5 дв.,Китай,52000
756,BMW X4,2024,2.0,1.0, бензин, автомат,руль слева,синий,внедорожник 5 дв.,Китай,74500
757,BMW X2,2024,2.0,, бензин, робот,руль слева,белый,внедорожник 5 дв.,Китай,40500
758,BMW X3,2021,2.0,34000.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,38200
759,BMW 5 серии,1996,2.0,350000.0, бензин, механика,руль слева,черный,седан,Бишкек,3500
760,BMW X5,2003,3.0,309990.0, бензин, автомат,руль слева,серебристый,внедорожник 5 дв.,Бишкек,8200
761,BMW X5,2011,4.4,140000.0, бензин, автомат,руль слева,хамелеон,внедорожник 5 дв.,Бишкек,20500
762,BMW 3 серии,2008,2.0,155000.0, бензин, автомат,руль слева,серебристый,седан,Бишкек,8300
763,BMW X7,2020,3.0,145000.0, дизель, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,69500
764,BMW X7,2023,3.0,15000.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,129000
765,BMW 5 серии,2018,2.0,176000.0, дизель, автомат,руль слева,серый,седан,Бишкек,26300
766,BMW X5,2023,4.4,9000.0, бензин, автомат,руль слева,синий,внедорожник 5 дв.,Бишкек,107000
767,BMW M5,2019,4.4,47000.0, бензин, автомат,руль слева,синий,седан,Бишкек,65000
768,BMW XM,2023,4.4,17000.0, гибрид, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,170000
769,BMW 5 серии,1988,2.0,280000.0, бензин, механика,руль слева,серебристый,седан,Бишкек,3903
770,BMW 7 серии,2020,3.0,106000.0, дизель, автомат,руль слева,черный,седан,Бишкек,55000
771,BMW 3 серии,2020,3.0,78000.0, бензин, автомат,руль слева,черный,седан,Южная,38300
772,BMW X3,2022,2.0,20000.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,65000
773,BMW X3,2022,2.0,20000.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,64500
774,BMW X5,2018,3.0,120000.0, дизель, автомат,руль слева,серый,внедорожник 5 дв.,Бишкек,38500
775,BMW X4,2024,2.0,50.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,68000
776,BMW 5 серии,2017,2.0,207000.0, бензин, автомат,руль слева,серый,седан,Бишкек,21500
777,BMW 7 серии,2008,3.0,260000.0, бензин, автомат,руль слева,черный,седан,Бишкек,12000
778,BMW X7,2020,3.0,50000.0, бензин, автомат,руль слева,серый,внедорожник 5 дв.,Бишкек,85000
779,BMW X7,2022,3.0,29413.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,78000
780,BMW X3,2022,2.0,3600.0, бензин, автомат,руль слева,синий,внедорожник 5 дв.,Бишкек,44500
781,BMW X1,2023,1.5,11365.0, бензин, робот,руль слева,серебристый,внедорожник 5 дв.,Бишкек,40500
782,BMW 5 серии,2008,4.8,200000.0, бензин, автомат,руль слева,белый,седан,Бишкек,17500
783,BMW 5 серии,2018,2.0,92000.0, бензин, автомат,руль слева,белый,седан,Бишкек,21200
784,BMW 5 серии,2018,2.0,163000.0, бензин, автомат,руль слева,черный,седан,Бишкек,24500
785,BMW 3 серии,2002,2.0,390000.0, бензин, механика,руль слева,бирюзовый,седан,Ош,5740
786,BMW 3 серии,2019,2.0,105000.0, бензин, автомат,руль слева,белый,седан,Бишкек,34500
